0,91,91,64.3612,218.515,3.8,8.8
0,60,60,68.629,224.439,3.4,8.4
176,52,102,73.3451,229.773,2.9,7.9
284,52,109,78.4194,234.588,2.2,6.6
251,34,61,83.7565,238.959,1.4,5.2
10,4,4,89.0607,242.963,1.4,5.2
0,0,0,94.8116,246.669,1.1,3.9
0,0,0,100.81,250.143,1.1,3.6
0,0,0,106.939,253.447,1,3.3
0,0,0,113.171,256.644,1,3.1
0,0,0,119.487,259.799,1,2.9
0,0,0,125.865,262.99,1,2.8
0,0,0,132.288,266.316,1,2.8
0,0,0,138.736,269.92,1,2.6
0,0,0,145.183,274.036,1,2.5
0,0,0,151.592,279.087,1,2.4
0,0,0,157.891,285.959,1,2.2
0,0,0,163.91,296.814,1,1.5
0,0,0,169.102,317.739,1,0.9
0,0,0,171.572,359.853,1.1,0.6
0,0,0,169.124,42.0714,1.1,0.2
0,0,0,163.939,63.076,1.3,0.2
0,0,0,157.922,73.9609,1.4,0.2
0,0,0,151.622,80.8452,1.6,0.3
0,0,0,145.212,85.9023,1.7,0.4
0,0,0,138.764,90.0206,1.8,0.4
0,0,0,132.315,93.626,1.8,0.4
0,0,0,125.889,96.9515,1.8,0.3
0,0,0,119.508,100.141,1.7,0.2
0,0,0,113.19,103.295,1.6,0
0,0,0,106.953,106.49,1.5,-0.1
0,0,0,100.821,109.792,1.6,0.1
0,0,0,94.8171,113.262,1.6,0.3
139,12,14,89.0606,116.965,2.1,1.6
481,30,82,83.7498,120.965,2.6,3
672,41,176,78.4052,125.332,2.5,4.3
775,49,271,73.3223,130.143,2.4,5.6
841,54,361,68.5965,135.474,2.6,7.1
884,58,441,64.318,141.396,2.9,8.7
913,62,510,60.5867,147.962,2.8,9.6
934,64,566,57.5125,155.185,2.7,10.6
945,68,607,55.2072,163.018,2.7,11.3
950,72,633,53.7713,171.33,2.6,12.1
955,72,643,53.2757,179.91,2.5,12.7
953,70,634,53.7467,188.493,2.5,13.3
946,69,610,55.1594,196.815,2.4,13.6
932,67,569,57.4437,204.663,2.3,14
906,67,513,60.4997,211.904,2.1,14.1
867,66,443,64.2158,218.487,1.8,14.2
822,60,362,68.4819,224.427,1.3,13.9
759,53,273,73.1976,229.774,0.8,13.6
659,45,179,78.2727,234.599,0.6,13.1
488,33,87,83.6126,238.98,0.5,12.7
153,13,16,88.9385,242.992,0.5,12.7
0,0,0,94.6678,246.705,0.4,12.3
0,0,0,100.668,250.186,0.6,11.6
0,0,0,106.798,253.497,0.8,10.8
0,0,0,113.032,256.7,1,10
0,0,0,119.349,259.863,1.2,9.2
0,0,0,125.729,263.063,1.3,8.5
0,0,0,132.152,266.398,1.3,7.7
0,0,0,138.6,270.014,1.3,7.1
0,0,0,145.047,274.144,1.3,6.6
0,0,0,151.454,279.21,1.3,6.1
0,0,0,157.751,286.093,1.3,5.7
0,0,0,163.764,296.929,1.3,5.4
0,0,0,168.953,317.661,1.3,5.1
0,0,0,171.464,359.103,1.3,4.9
0,0,0,169.104,41.2442,1.3,4.6
0,0,0,163.965,62.5245,1.3,4.4
0,0,0,157.967,73.5716,1.3,4.2
0,0,0,151.676,80.5453,1.3,4.1
0,0,0,145.269,85.6558,1.3,4.1
0,0,0,138.822,89.8084,1.3,4.1
0,0,0,132.372,93.4366,1.3,4.1
0,0,0,125.945,96.778,1.3,4
0,0,0,119.561,99.9787,1.3,3.9
0,0,0,113.239,103.14,1.3,3.7
0,0,0,106.998,106.339,1.3,3.5
0,0,0,100.86,109.643,1.2,3.4
0,0,0,94.8499,113.115,1.2,3.3
120,11,13,89.082,116.816,1.2,4.9
407,33,77,83.7669,120.814,1.2,6.6
683,45,182,78.4131,125.179,1.3,7.9
804,51,282,73.3195,129.986,1.5,9.2
870,56,374,68.5814,135.313,1.3,10.5
916,61,458,64.289,141.232,1,11.8
947,64,530,60.5424,147.796,1.2,13.3
968,66,587,57.4517,155.021,1.4,14.9
980,70,630,55.1293,162.86,1.6,15.8
984,73,656,53.6765,171.183,1.8,16.8
987,73,665,53.1652,179.78,2,17.3
983,74,657,53.6227,188.385,2.2,17.9
975,73,632,55.0246,196.73,2.2,18.1
960,71,590,57.3011,204.601,2.2,18.3
938,69,533,60.352,211.863,2,18.1
906,66,462,64.0651,218.466,1.8,17.9
861,61,379,68.3301,224.421,1.5,16.9
793,55,286,73.046,229.781,1.1,15.8
690,46,188,78.1224,234.618,1.2,13.9
516,34,93,83.4654,239.008,1.3,11.9
173,15,18,88.8119,243.028,1.3,11.9
0,0,0,94.5213,246.748,1.4,10.3
0,0,0,100.523,250.236,1.4,9.9
0,0,0,106.655,253.554,1.4,9.5
0,0,0,112.891,256.765,1.5,9.2
0,0,0,119.209,259.936,1.5,8.8
0,0,0,125.59,263.144,1.6,8.6
0,0,0,132.015,266.491,1.6,8.3
0,0,0,138.463,270.119,1.7,8
0,0,0,144.909,274.264,1.7,7.8
0,0,0,151.315,279.347,1.7,7.5
0,0,0,157.608,286.245,1.7,7.2
0,0,0,163.615,297.068,1.6,6.8
0,0,0,168.8,317.617,1.6,6.5
0,0,0,171.348,358.386,1.5,6.2
0,0,0,169.076,40.4021,1.5,5.9
0,0,0,163.985,61.9516,1.4,5.9
0,0,0,158.007,73.1645,1.4,5.8
0,0,0,151.725,80.231,1.4,5.8
0,0,0,145.322,85.3974,1.4,5.9
0,0,0,138.876,89.5859,1.4,5.9
0,0,0,132.425,93.2383,1.4,6
0,0,0,125.996,96.5963,1.5,6
0,0,0,119.609,99.8087,1.5,6.1
0,0,0,113.283,102.978,1.5,6
0,0,0,107.037,106.182,1.5,6
0,0,0,100.894,109.489,1.5,6.2
0,0,0,94.8777,112.961,1.5,6.3
127,12,14,89.0989,116.662,1.7,7.6
280,33,63,83.7786,120.658,1.9,9
131,76,102,78.4153,125.02,2.1,10.3
129,114,151,73.3106,129.824,2.2,11.6
278,138,240,68.5599,135.147,2.5,13.4
549,125,364,64.2534,141.064,2.9,15.1
620,136,441,60.4912,147.627,3.3,16.5
749,117,521,57.3838,154.855,3.7,17.9
632,161,523,55.0441,162.701,3.7,18.5
422,234,485,53.5743,171.037,3.8,19.2
414,241,490,53.0475,179.652,3.7,19.4
441,231,493,53.4917,188.279,3.7,19.6
446,218,475,54.8833,196.649,3.5,19.6
582,162,478,57.1523,204.544,3.4,19.6
290,195,339,60.1986,211.828,3.1,19.3
214,170,264,63.9094,218.45,2.9,19.1
540,100,301,68.1737,224.422,2.6,18.5
645,67,257,72.8903,229.795,2.4,17.8
589,52,175,77.9684,234.643,2.4,17
423,37,86,83.3149,239.043,2.3,16.3
120,13,16,88.6813,243.071,2.3,16.3
0,0,0,94.3725,246.799,2.6,15.6
0,0,0,100.377,250.293,2.6,15.2
0,0,0,106.511,253.619,2.7,14.9
0,0,0,112.749,256.837,2.7,14.5
0,0,0,119.068,260.017,2.7,14.1
0,0,0,125.451,263.235,2.7,13.9
0,0,0,131.876,266.592,2.7,13.7
0,0,0,138.325,270.235,2.9,13.7
0,0,0,144.77,274.396,3,13.6
0,0,0,151.174,279.499,3.1,13.6
0,0,0,157.463,286.415,3.2,13.6
0,0,0,163.463,297.229,3.3,13.6
0,0,0,168.641,317.605,3.4,13.6
0,0,0,171.222,357.701,3.3,13.7
0,0,0,169.038,39.5477,3.2,13.8
0,0,0,163.998,61.3583,3.2,14
0,0,0,158.041,72.7402,3.2,14.3
0,0,0,151.768,79.9026,2.5,14.1
0,0,0,145.37,85.1272,1.8,13.9
0,0,0,138.925,89.3533,1.6,13.8
0,0,0,132.473,93.0311,1.5,13.6
0,0,0,126.042,96.4068,1.9,14
0,0,0,119.652,99.6314,2.3,14.4
0,0,0,113.322,102.809,2.5,14.6
0,0,0,107.072,106.019,2.7,14.8
0,0,0,100.923,109.329,2.5,14.9
0,0,0,94.9002,112.803,2.4,15
0,2,2,89.1113,116.503,2.6,15.5
0,12,12,83.7847,120.498,2.8,16.1
0,18,18,78.4116,124.857,2.9,16.7
0,16,16,73.2955,129.658,3.1,17.3
0,29,29,68.532,134.978,3.3,18.3
0,76,76,64.2111,140.892,3.6,19.2
9,158,162,60.4331,147.456,3.8,20.1
18,186,196,57.3087,154.687,4,21
64,247,284,54.9517,162.541,4,21.5
32,212,231,53.4649,170.891,4,22
12,179,186,52.9226,179.526,3.8,22.3
23,215,229,53.3538,188.177,3.7,22.5
124,247,319,54.7353,196.572,3.5,22.6
70,232,270,56.9975,204.492,3.3,22.7
150,209,284,60.0397,211.799,2.8,22.5
248,180,290,63.7486,218.441,2.4,22.2
525,111,308,68.0129,224.429,1.9,21.7
404,97,217,72.7306,229.816,1.5,21.1
186,76,115,77.811,234.675,1.3,20.1
100,42,54,83.1614,239.084,1.2,19.2
67,14,16,88.5468,243.121,1.2,19.2
0,0,0,94.2212,246.856,1.3,18.3
0,0,0,100.228,250.358,1.4,18.2
